,from,job_id,job_title,job_company,job_location,job_link
0,Indeed,2ee8bbfc57693184,Deep Learning Data Scientist,WorkFusion,"New York, NY",http://www.indeed.com/rc/clk?jk=2ee8bbfc57693184
1,Indeed,cb654a8a00140c81,"Data Scientist, State Street Global Exchange, Vice President",State Street,"New York, NY",http://www.indeed.com/rc/clk?jk=cb654a8a00140c81
2,Indeed,139518453950919f,"Quantitative Analyst, Associate",Citi,"New York, NY",http://www.indeed.com/rc/clk?jk=139518453950919f
3,Indeed,8d6045039f16906b,Data Scientist,Nielsen,"New York, NY 10003 (Greenwich Village area)",http://www.indeed.com/rc/clk?jk=8d6045039f16906b
4,Indeed,bca14174684fb4b1,Data Scientist,Citi,"Long Island City, NY",http://www.indeed.com/rc/clk?jk=bca14174684fb4b1
5,Indeed,81e50490c3e0204a,Data Scientist,Enterprise Select,"New York, NY 10005 (Financial District area)",http://www.indeed.com/rc/clk?jk=81e50490c3e0204a
6,Indeed,75e46673de252b20,Data Scientist,Wink,"New York, NY",http://www.indeed.com/rc/clk?jk=75e46673de252b20
7,Indeed,7b4b0501679a3506,Data Scientist,Skillshare,"New York, NY 10012 (Little Italy area)",http://www.indeed.com/rc/clk?jk=7b4b0501679a3506
8,Indeed,ec768c51abc4b763,Data Scientist,Fulcrum,"New York, NY",http://www.indeed.com/rc/clk?jk=ec768c51abc4b763
9,Indeed,c4a995d537f4671a,Data Scientist,Innovations for Poverty,"New York, NY",http://www.indeed.com/rc/clk?jk=c4a995d537f4671a
10,Indeed,209b5743f2c73e7a,Data Analyst - NEW YORK,JOOR,"New York, NY 10001 (Chelsea area)",http://www.indeed.com/rc/clk?jk=209b5743f2c73e7a
11,Indeed,fbdafa4cf187a8a8,Data Scientist - NY (macys.com),Macy's,"New York, NY",http://www.indeed.com/rc/clk?jk=fbdafa4cf187a8a8
12,Indeed,46999702ffdf7e2a,Data Scientist - Big Data & Analytics,KPMG,"New York, NY 10154",http://www.indeed.com/rc/clk?jk=46999702ffdf7e2a
13,Indeed,11fd3bfae1efd204,Data Scientist,KPMG,"New York, NY 10154",http://www.indeed.com/rc/clk?jk=11fd3bfae1efd204
14,Indeed,c14c9c1a442a911b,Data Scientist,Komodo Health,"New York, NY",http://www.indeed.com/rc/clk?jk=c14c9c1a442a911b
17,Indeed,00570682013175b3,Data Scientist,Dataminr,"New York, NY",http://www.indeed.com/rc/clk?jk=00570682013175b3
18,Indeed,e929a4eb1b3507ac,"Data Scientist, Bureau of School Health/ SH Medical",DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY",http://www.indeed.com/rc/clk?jk=e929a4eb1b3507ac
19,Indeed,76ced11270858383,Lead Data Scientist,Ascension12,"New York, NY",http://www.indeed.com/rc/clk?jk=76ced11270858383
20,Indeed,51df2b42f0f78f44,Machine Learning Data Scientist,Gilt Groupe,"New York, NY 10016 (Gramercy area)",http://www.indeed.com/rc/clk?jk=51df2b42f0f78f44
21,Indeed,6789a3679a582e97,"Data Scientist, Healthcare Insights",Guidepoint,"New York, NY 10017 (Midtown area)",http://www.indeed.com/rc/clk?jk=6789a3679a582e97
22,Indeed,8bc83e25ae425e39,Machine Learning Engineer,Spotify,"New York, NY 10011 (Chelsea area)",http://www.indeed.com/rc/clk?jk=8bc83e25ae425e39
23,Indeed,a50c81da4689aef1,Data Science Intern,Fareportal Inc.,"New York, NY 10020 (Midtown area)",http://www.indeed.com/rc/clk?jk=a50c81da4689aef1
24,Indeed,ec8d7c879094e88e,Data Scientist,CuttingEdge,"New York, NY",http://www.indeed.com/rc/clk?jk=ec8d7c879094e88e
25,Indeed,bdccb720c558fd8b,Digital Intelligence - Data Scientist,JP Morgan Chase,"New York, NY 10001 (Chelsea area)",http://www.indeed.com/rc/clk?jk=bdccb720c558fd8b
