,from,job_id,job_title,job_company,job_location,job_link
0,Careerbuilder,J3G0WZ6YQHG3KLG5TG2,Data Scientist,Huxley Associates,"New York, NY",http://www.careerbuilder.com/job/J3G0WZ6YQHG3KLG5TG2
1,Careerbuilder,J5L30666PFK7SBT84BY,Data Scientist,"Piezos Technology Solutions, Inc.","Newark, NJ",http://www.careerbuilder.com/job/J5L30666PFK7SBT84BY
2,Careerbuilder,JHR0F8718YD1FFDGWQG,"Data Scientist, Decision Analytics",EXL Service,"10 Exchange Place

Jersey City, NJ",http://www.careerbuilder.com/job/JHR0F8718YD1FFDGWQG
3,Careerbuilder,J3F5H36VXWHZBGQ8VC0,Data Scientist - Network Infrastructure,Bloomberg,"New York, NY",http://www.careerbuilder.com/job/J3F5H36VXWHZBGQ8VC0
4,Careerbuilder,J3H7QT6HRKBF56GTPJF,Senior Data Scientist,Olivier James Associates,"New York, NY",http://www.careerbuilder.com/job/J3H7QT6HRKBF56GTPJF
5,Careerbuilder,JHT0SQ67TP8VGD2PLNC,Data Scientist with NLP Experience,EXL Service,"10 Exchange Place

Jersey City, NJ",http://www.careerbuilder.com/job/JHT0SQ67TP8VGD2PLNC
6,Careerbuilder,J3L6JH65LHWPN5S124X,AVP - Data Scientist,Olivier James Associates,"New York, NY",http://www.careerbuilder.com/job/J3L6JH65LHWPN5S124X
7,Careerbuilder,J3F5V76PK1TZBLN0DG6,Natural Language Processing (NLP) Research Scientist,Bloomberg,"New York, NY",http://www.careerbuilder.com/job/J3F5V76PK1TZBLN0DG6
8,Careerbuilder,JJH0006FRTZ90T8X5QV,Epidemiology Data Scientist / Data Engineer.,Gcom Software Inc.,"New York, NY",http://www.careerbuilder.com/job/JJH0006FRTZ90T8X5QV
9,Careerbuilder,J3L0ZG76W4Q63GVPZVS,Jr. Data Analyst/Data Scientist,Insight Global,"New York City, NY",http://www.careerbuilder.com/job/J3L0ZG76W4Q63GVPZVS
10,Careerbuilder,J3L0TC728J83SHY5J0Q,Variant Scientist,Kelly Scientific Resources,"New York, NY",http://www.careerbuilder.com/job/J3L0TC728J83SHY5J0Q
11,Careerbuilder,J9085Q65CP1CBPVHGBT,Sr. Machine Learning Scientist ? Medical Device,Pilgrimage Search,"New York, NY",http://www.careerbuilder.com/job/J9085Q65CP1CBPVHGBT
12,Careerbuilder,J8J31W5ZTBZGT6Y46R7,Senior Manager Clinical Development,Crossfire,"Jersey City, NJ",http://www.careerbuilder.com/job/J8J31W5ZTBZGT6Y46R7
13,Careerbuilder,J5L06J65S39SK6RK0TQ,VP / Director of Data Warehouse and Analytics,CareerBuilder,"New York, NY",http://www.careerbuilder.com/job/J5L06J65S39SK6RK0TQ
14,Careerbuilder,J3K2KW6M53K8LPNRDY2,Program Manager - Data Science - New York City - Start Up,Olivier James Associates,"Manhattan, NY",http://www.careerbuilder.com/job/J3K2KW6M53K8LPNRDY2
15,Careerbuilder,J3H5HK6XSFC7CQGK89K,NLP Engineer,Roc Search Inc,"New York, NY",http://www.careerbuilder.com/job/J3H5HK6XSFC7CQGK89K
16,Careerbuilder,J3G1WR6BP2FQ88NG0PH,Developer / Data Engineer,Penguin Random House US,"New York, United States, NY",http://www.careerbuilder.com/job/J3G1WR6BP2FQ88NG0PH
17,Careerbuilder,J3G5RH60CYJXB2F1Q1M,Sr. Manager with Clinical Program Lead Experience,Alpha Consulting,"Jersey City, NJ",http://www.careerbuilder.com/job/J3G5RH60CYJXB2F1Q1M
18,Careerbuilder,J3J5QD5YM2DFKS3N8FY,"Senior Manager, Clinical Development",Joule,"Jersey City, NJ",http://www.careerbuilder.com/job/J3J5QD5YM2DFKS3N8FY
19,Careerbuilder,J3F2N370Z3DYQTNQ2Y7,Head of Research,ExecuNet,"New York, NY",http://www.careerbuilder.com/job/J3F2N370Z3DYQTNQ2Y7
20,Careerbuilder,J3G5DT6Z04NQM18P6PW,Infrastructure Security Architect,Bloomberg,"New York, NY",http://www.careerbuilder.com/job/J3G5DT6Z04NQM18P6PW
21,Careerbuilder,J3L3D372XPMVB90F89M,VP of Analytics,ExecuNet,"New York, NY",http://www.careerbuilder.com/job/J3L3D372XPMVB90F89M
22,Careerbuilder,J3F3M172D9JV4ZW0JXP,Scala Developer,"TEKsystems, Inc","New York, NY",http://www.careerbuilder.com/job/J3F3M172D9JV4ZW0JXP
23,Careerbuilder,JJJ4XV7102Q5KBGY509,Senior Analytics Consultant (Machine Learning/ Modeling),EXL Service,"10 Exchange Place

Jersey City, NJ",http://www.careerbuilder.com/job/JJJ4XV7102Q5KBGY509
24,Careerbuilder,JHQ3RH75JLH7Y85JQ8R,Senior Analytics Consultant,EXL Service,"10 Exchange Place

Jersey City, NJ",http://www.careerbuilder.com/job/JHQ3RH75JLH7Y85JQ8R
25,Careerbuilder,J3H1QH5ZB100T8QSKPQ,Software Security Architect,Bloomberg,"New York, NY",http://www.careerbuilder.com/job/J3H1QH5ZB100T8QSKPQ
26,Careerbuilder,J3K19L6VLHWTT2HPKD2,VP of Product Management Channel Experiences,ExecuNet,"New York, NY",http://www.careerbuilder.com/job/J3K19L6VLHWTT2HPKD2
27,Careerbuilder,J3G4N672XRLT242LBM5,Civil Construction Inspectors,Kleinfelder,"New York, NY",http://www.careerbuilder.com/job/J3G4N672XRLT242LBM5
28,Careerbuilder,J3H1KH779NCX7SFB7C5,Environmental Construction Inspectors,Kleinfelder,"New York, NY",http://www.careerbuilder.com/job/J3H1KH779NCX7SFB7C5
